model,rmse_mean,rmse_std,mae_mean,mae_std,r2_mean
linear_diag_only,3.375028784539853,0.7834773136390836,2.773744543724937,0.622289114774465,0.3486967343059513
elastic_net,3.457622808490914,0.4956583688445853,2.7466076605169056,0.3723055730235796,0.3075812100474123
svr_rbf,3.633740496367931,0.525154196652762,3.0976311319844143,0.5060197948943354,0.2362632541027503
random_forest,3.6852522696167993,0.7989546383772291,2.5383030210572546,0.444997812412141,0.1975319570973684
hist_gbm,3.772805689321076,0.3262904464262057,3.0119164362928865,0.3133626707162407,0.1112928612013644
baseline_mean,4.179902236151006,0.4792718176927473,3.616184909776951,0.4556088049166766,-0.0174506092229731
